Title,Wirkstoff,Wirkstoff-Gruppe,Max. Einsätze pro Jahr,Dosis pro HL,Dosis pro HA,Karenzzeit,bienengefährlich,Einschränkung
Mavita 250 EC,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Mavrik 20 EW,30,,30,30,30,30,,
MaxCel,90,,90,90,,90,,
MaxCel 2 SL,90,,90,90,,90,,
Medeiro 80 WG Advance,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Megic 240,30,,30,30,30,30,,
Merpan 80 WDG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Micene DF,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Micene MZ,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Miclo-Green,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Miclocur,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Micospor 80 WDG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Micospor MGD,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Micozeb 75 WDG,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Microbagnabile 80,5,,,5,,5,,
Microbagnabile WG,5,,,5,,5,,
Microcopp neutro FL,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Microsulf 90,5,,,5,,5,,
Microsulf WG,5,,,5,,5,,
Microthiol Disperss,5,,,5,,5,,
Milbeknock,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Mimic,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr,,max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr
Mistral,80,,80,,80,80,,
Movento 48 SC,X,,X,X,X,X,X,
Nando Maxi,max. 7 Behandlungen mit Fluazinam pro Jahr,,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,,max. 7 Behandlungen mit Fluazinam pro Jahr
Naturalis,2 l,,,,2 l,,,
Nectar,nur Apfel,,,nur Apfel,nur Apfel,,,nur Apfel
Nectar Plus,nur Apfel,,,nur Apfel,nur Apfel,,,nur Apfel
Neemazal-T/S,3,,3,,3,3,,
Neemik Ten,3,,3,3,3,3,,
Neoram Blu WG,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Neoram WG,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Nexol 10 WG,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Nexol 200 EW,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Nexter,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Nimbus 250 EC,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Nimrod,"max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel",,"max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel","max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel","max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel","max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel",,"max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel"
Nimrod 250 EW,"max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel",,"max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel","max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel","max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel","max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel",,"max. 4 Behandlungen mit Bupirimate pro Jahr, nur Apfel"
Nissorun,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Nobil,20 l,,20 l,20 l,20 l,,,
Nokad,7,,,7,,7,,
Nospor 80 S,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Novagib,nur Apfel,,,nur Apfel,nur Apfel,,,nur Apfel
Nu-Film-P,"0,4 l",,,,"0,4 l",,,
Obsthormon 24a,7,,,7,7,7,,
Obsthormon 24a SL,7,,,7,7,7,,
Ohayo,max. 7 Behandlungen mit Fluazinam pro Jahr,,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,max. 7 Behandlungen mit Fluazinam pro Jahr,,max. 7 Behandlungen mit Fluazinam pro Jahr
Oikos,3,,3,3,3,3,,
Oleoter,20,,,,20,20,,
Oleoter estate,20,,,20,,20,,
Olio Ognistagione,20,,,20,,20,,
Oliocin,20,,,20,,20,,
Opalene,20,,,20,,20,,
Optix WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Orthocide 80 WG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Ossiclor 20 Flow,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Ossiclor 30,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Ossiclor 35 WG,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Ossiclor 35 WG Green,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Ovipron Top,20,,20,20,20,20,,
Ovispray,1,,,1,1,1,,
Oxyfluor,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,,nur zwischen der letzten Septemberdekade und der ersten Maidekade
Pantox Max,"6,6 l/Jahr",,,,"6,6 l/Jahr",,,
Papyrus,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr
Papyrus 400 SC,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr
Pasta Caffaro Blu,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Pasta Caffaro NC,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Pasta Isagro Blu,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Pasta Siapa F Blu,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Pasta Siapa F NC,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Patrol 35 WP,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Pencor 10 EC,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
